@relation autos-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0-weka.filters.unsupervised.instance.Randomize-S42

@attribute normalized-losses numeric
@attribute make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute fuel-type {diesel,gas}
@attribute aspiration {std,turbo}
@attribute num-of-doors {four,two}
@attribute body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute drive-wheels {4wd,fwd,rwd}
@attribute engine-location {front,rear}
@attribute wheel-base numeric
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute curb-weight numeric
@attribute engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute engine-size numeric
@attribute fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute bore numeric
@attribute stroke numeric
@attribute compression-ratio numeric
@attribute horsepower numeric
@attribute peak-rpm numeric
@attribute city-mpg numeric
@attribute highway-mpg numeric
@attribute price numeric
@attribute symboling {-3,-2,-1,0,1,2,3}

@data
?,alfa-romero,gas,std,two,hatchback,rwd,front,?,?,?,?,?,ohcv,six,?,mpfi,?,?,?,?,?,?,?,?,1
0.009804,toyota,diesel,std,four,hatchback,fwd,front,0.010311,0.017917,0.006938,0.005689,0.245106,ohc,four,0.011851,idi,0.000352,0.000361,0.002424,0.006033,0.484825,0.004094,0.005064,0.83907,0
0.009174,volkswagen,gas,std,four,sedan,fwd,front,0.009496,0.016758,0.006393,0.005436,0.222039,ohc,four,0.010638,mpfi,0.000311,0.000332,0.000878,0.008296,0.512398,0.002635,0.003318,0.829108,2
0.004244,volvo,gas,std,four,sedan,rwd,front,0.004874,0.008435,0.003078,0.002479,0.134561,ohcv,six,0.007729,mpfi,0.00016,0.000128,0.000393,0.005986,0.245712,0.000804,0.001028,0.95984,-1
0.012011,plymouth,gas,turbo,two,hatchback,fwd,front,0.009457,0.015876,0.006439,0.005127,0.214776,ohc,four,0.009891,spdi,0.000306,0.000342,0.000767,0.010295,0.555108,0.002422,0.003028,0.80309,1
?,alfa-romero,gas,std,two,convertible,rwd,front,?,?,?,?,?,dohc,four,?,mpfi,?,?,?,?,?,?,?,?,3
0.01192,nissan,gas,std,two,hatchback,rwd,front,0.005119,0.009211,0.003504,0.002565,0.161972,ohcv,six,0.00934,mpfi,0.000177,0.000169,0.000464,0.008256,0.26832,0.00098,0.00129,0.949389,1
?,porsche,gas,std,two,hardtop,rwd,rear,?,?,?,?,?,ohcf,six,?,mpfi,?,?,?,?,?,?,?,?,3
0.018134,mitsubishi,gas,std,two,hatchback,fwd,front,0.010554,0.017717,0.007254,0.005722,0.22572,ohc,four,0.010362,2bbl,0.000335,0.000364,0.001059,0.007659,0.619491,0.003492,0.00428,0.751161,2
0.014217,dodge,gas,turbo,?,sedan,fwd,front,0.009001,0.01511,0.006129,0.004861,0.210465,ohc,four,0.009414,mpfi,0.000291,0.000326,0.00073,0.009798,0.528325,0.002305,0.002882,0.822074,1
