@relation balance-scale-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0

@attribute left-weight numeric
@attribute left-distance numeric
@attribute right-weight numeric
@attribute right-distance numeric
@attribute class {L,B,R}

@data
0.696311,0.522233,0.348155,0.348155,L
0.70014,0.560112,0.420084,0.140028,L
0.596285,0.596285,0.447214,0.298142,L
0.308607,0.308607,0.771517,0.46291,R
0.426401,0.852803,0.213201,0.213201,L
0.365148,0.730297,0.547723,0.182574,L
0.239046,0.597614,0.478091,0.597614,R
0.544331,0.408248,0.680414,0.272166,L
0.342997,0.857493,0.171499,0.342997,L
0.566947,0.566947,0.188982,0.566947,L
0.632456,0.632456,0.316228,0.316228,L
0.154303,0.46291,0.617213,0.617213,R
0.324443,0.648886,0.486664,0.486664,R
0.5547,0.27735,0.5547,0.5547,R
0.648886,0.324443,0.486664,0.486664,R
0.294884,0.147442,0.73721,0.589768,R
0.390567,0.650945,0.390567,0.520756,L
0.755929,0.377964,0.377964,0.377964,L
0.285714,0.285714,0.714286,0.571429,R
0.525226,0.525226,0.656532,0.131306,L
0.525226,0.656532,0.131306,0.525226,L
0.73721,0.589768,0.294884,0.147442,L
0.138675,0.693375,0.693375,0.138675,B
0.571429,0.285714,0.714286,0.285714,R
0.46291,0.154303,0.617213,0.617213,R
0.680414,0.272166,0.408248,0.544331,R
0.516398,0.258199,0.258199,0.774597,R
0.363803,0.606339,0.606339,0.363803,B
0.171499,0.342997,0.857493,0.342997,R
0.696311,0.348155,0.348155,0.522233,L
0.147442,0.589768,0.294884,0.73721,R
0.852803,0.426401,0.213201,0.213201,L
0.34641,0.57735,0.46188,0.57735,R
0.2,0.4,0.8,0.4,R
0.547723,0.730297,0.182574,0.365148,L
0.298142,0.596285,0.596285,0.447214,R
0.680414,0.544331,0.408248,0.272166,L
0.7698,0.19245,0.57735,0.19245,L
0.833333,0.5,0.166667,0.166667,L
0.272166,0.544331,0.680414,0.408248,R
0.562544,0.225018,0.562544,0.562544,R
0.447214,0.596285,0.596285,0.298142,L
0.547723,0.365148,0.182574,0.730297,L
0.140028,0.560112,0.420084,0.70014,R
0.46291,0.308607,0.771517,0.308607,R
0.5,0.5,0.5,0.5,B
0.680414,0.272166,0.544331,0.408248,R
0.538816,0.538816,0.538816,0.359211,L
0.597614,0.597614,0.239046,0.478091,L
0.597614,0.478091,0.597614,0.239046,L
0.480384,0.320256,0.160128,0.800641,L
0.656532,0.262613,0.656532,0.262613,B
0.342997,0.342997,0.857493,0.171499,R
0.529813,0.529813,0.39736,0.529813,L
0.408248,0.272166,0.544331,0.680414,R
0.256074,0.640184,0.512148,0.512148,R
0.560112,0.420084,0.70014,0.140028,L
0.657596,0.657596,0.164399,0.328798,L
0.171499,0.342997,0.342997,0.857493,R
0.328798,0.328798,0.821995,0.328798,R
0.857493,0.342997,0.342997,0.171499,L
0.285714,0.714286,0.285714,0.571429,L
0.615457,0.369274,0.492366,0.492366,R
0.6742,0.26968,0.6742,0.13484,L
0.457496,0.457496,0.609994,0.457496,R
0.320256,0.480384,0.800641,0.160128,L
0.164399,0.657596,0.657596,0.328798,R
0.512148,0.640184,0.256074,0.512148,L
0.235702,0.471405,0.471405,0.707107,R
0.288675,0.288675,0.288675,0.866025,R
0.800641,0.320256,0.480384,0.160128,L
0.821995,0.328798,0.328798,0.328798,L
0.606339,0.363803,0.606339,0.363803,B
0.589768,0.147442,0.73721,0.294884,R
0.6742,0.6742,0.13484,0.26968,L
0.771517,0.46291,0.308607,0.308607,L
0.29173,0.437595,0.729325,0.437595,R
0.680414,0.544331,0.272166,0.408248,L
0.471405,0.707107,0.235702,0.471405,L
0.316228,0.632456,0.316228,0.632456,B
0.566947,0.188982,0.566947,0.566947,R
0.610847,0.610847,0.488678,0.122169,L
0.147442,0.294884,0.589768,0.73721,R
0.208514,0.417029,0.625543,0.625543,R
0.229416,0.229416,0.917663,0.229416,R
0.610847,0.610847,0.122169,0.488678,L
0.645497,0.645497,0.387298,0.129099,L
0.73721,0.294884,0.589768,0.147442,L
0.229416,0.229416,0.229416,0.917663,R
0.320256,0.160128,0.800641,0.480384,R
0.645497,0.129099,0.387298,0.645497,R
0.656532,0.656532,0.262613,0.262613,L
0.160128,0.800641,0.480384,0.320256,R
0.365148,0.547723,0.730297,0.182574,L
0.34641,0.46188,0.57735,0.57735,R
0.239046,0.597614,0.597614,0.478091,R
0.589768,0.73721,0.147442,0.294884,L
0.73721,0.589768,0.147442,0.294884,L
0.288675,0.866025,0.288675,0.288675,L
0.552158,0.441726,0.441726,0.552158,B
0.629941,0.251976,0.629941,0.377964,R
0.617213,0.46291,0.617213,0.154303,L
0.480384,0.160128,0.320256,0.800641,R
0.632456,0.316228,0.632456,0.316228,B
0.800641,0.160128,0.480384,0.320256,R
0.676123,0.507093,0.507093,0.169031,L
0.426401,0.213201,0.213201,0.852803,R
0.589768,0.294884,0.147442,0.73721,L
0.328798,0.821995,0.328798,0.328798,L
0.258199,0.258199,0.516398,0.774597,R
0.693375,0.416025,0.416025,0.416025,L
0.5547,0.5547,0.5547,0.27735,L
0.363803,0.606339,0.363803,0.606339,B
0.70014,0.140028,0.560112,0.420084,R
