@relation horse-colic-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0-weka.filters.unsupervised.instance.Randomize-S42

@attribute surgery {yes,no}
@attribute Age {adult,young}
@attribute rectal_temperature numeric
@attribute pulse numeric
@attribute respiratory_rate numeric
@attribute temp_extremities {normal,warm,cool,cold}
@attribute peripheral_pulse {normal,increased,reduced,absent}
@attribute mucous_membranes {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute capillary_refill_time {<3,>=3,'meaning unknown'}
@attribute pain {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute peristalsis {hypermotile,normal,hypomotile,absent}
@attribute abdominal_distension {none,slight,moderate,severe}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {none,>1l,<1l}
@attribute nasogastric_reflux_PH numeric
@attribute rectal_examination {normal,increased,decreased,absent}
@attribute abdomen {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute packed_cell_volume numeric
@attribute total_protein numeric
@attribute abdominocentesis_appearance {clear,cloudy,serosanguinous}
@attribute abdomcentesis_total_protein numeric
@attribute outcome {lived,died,euthanized}
@attribute surgical_lesion {yes,no}

@data
yes,adult,?,?,?,cool,?,'pale cyanotic',?,'continuous severe pain',absent,moderate,slight,none,?,absent,'distended large intestine',?,?,?,?,lived,yes
no,adult,?,?,?,normal,normal,'normal pink',<3,depressed,hypomotile,slight,slight,none,?,decreased,'distended large intestine',?,?,clear,?,lived,no
no,young,?,?,?,warm,normal,'normal pink',<3,'intermittent severe pain',hypermotile,none,?,?,?,normal,?,?,?,?,?,lived,no
no,adult,?,?,?,warm,reduced,'pale pink',<3,'alert no pain',hypomotile,slight,significant,none,?,?,?,?,?,?,?,lived,no
yes,young,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,died,yes
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,died,yes
yes,adult,?,?,?,cool,normal,'pale pink',<3,'intermittent mild pain',hypomotile,slight,none,none,?,decreased,'distended small intestine',?,?,cloudy,?,lived,yes
yes,adult,?,?,?,normal,normal,'normal pink',<3,'alert no pain',normal,none,slight,none,?,normal,other,?,?,?,?,lived,yes
yes,adult,?,?,?,cool,normal,'normal pink',<3,'intermittent severe pain',hypomotile,none,?,?,?,decreased,?,?,?,?,?,lived,yes
yes,adult,?,?,?,normal,?,'normal pink',<3,'continuous severe pain',hypomotile,none,?,none,?,?,?,?,?,cloudy,?,lived,yes
no,adult,?,?,?,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,?,decreased,other,?,?,clear,?,lived,no
yes,adult,?,?,?,warm,?,'pale cyanotic',<3,'intermittent mild pain',?,moderate,?,>1l,?,decreased,'distended small intestine',?,?,cloudy,?,lived,yes
yes,adult,?,?,?,normal,?,'pale pink',>=3,?,absent,severe,slight,<1l,?,?,'distended large intestine',?,?,?,?,euthanized,yes
yes,adult,?,?,?,warm,normal,'pale cyanotic',?,depressed,hypomotile,none,?,?,?,normal,?,?,?,?,?,lived,yes
no,young,?,?,?,cold,absent,'pale cyanotic',>=3,'continuous severe pain',absent,severe,?,?,?,?,?,?,?,?,?,died,yes
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,yes
no,adult,?,?,?,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,<1l,?,?,?,?,?,?,?,died,yes
no,adult,?,?,?,normal,normal,?,<3,'intermittent mild pain',hypomotile,?,none,none,?,?,?,?,?,clear,?,lived,no
yes,adult,?,?,?,cool,normal,'pale pink',<3,?,normal,slight,slight,none,?,normal,'distended small intestine',?,?,cloudy,?,lived,yes
no,adult,?,?,?,cool,reduced,'pale pink',?,?,hypermotile,none,slight,none,?,absent,?,?,?,cloudy,?,lived,no
yes,adult,?,?,?,cold,absent,'pale cyanotic',<3,depressed,hypomotile,none,slight,none,?,absent,'distended small intestine',?,?,serosanguinous,?,lived,yes
yes,adult,?,?,?,?,?,'dark cyanotic',>=3,'intermittent severe pain',absent,moderate,none,?,?,absent,'distended large intestine',?,?,?,?,euthanized,yes
no,adult,?,?,?,normal,increased,'pale pink',<3,'alert no pain',hypermotile,none,none,none,?,normal,normal,?,?,?,?,lived,no
yes,adult,?,?,?,?,reduced,'normal pink',<3,depressed,hypomotile,slight,significant,none,?,decreased,'distended large intestine',?,?,serosanguinous,?,lived,yes
no,adult,?,?,?,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,<1l,?,?,?,?,?,?,?,died,yes
no,adult,?,?,?,cool,reduced,'bright red',<3,depressed,hypomotile,none,none,none,?,absent,normal,?,?,?,?,died,yes
no,adult,?,?,?,warm,normal,'pale pink',<3,'intermittent mild pain',hypomotile,slight,none,none,?,normal,'distended large intestine',?,?,clear,?,lived,no
no,adult,?,?,?,normal,?,'normal pink',<3,'alert no pain',hypomotile,none,slight,<1l,?,absent,'firm feces in large intestine',?,?,?,?,lived,no
no,young,?,?,?,normal,normal,'bright pink',<3,'alert no pain',hypomotile,slight,significant,?,?,normal,normal,?,?,clear,?,died,no
yes,adult,?,?,?,normal,normal,?,<3,?,hypermotile,none,?,?,?,?,?,?,?,clear,?,lived,yes
yes,adult,?,?,?,cool,reduced,'dark cyanotic',>=3,'continuous severe pain',hypomotile,moderate,none,<1l,?,absent,'distended large intestine',?,?,serosanguinous,?,died,yes
yes,adult,?,?,?,cool,reduced,'pale pink',<3,'continuous severe pain',hypomotile,moderate,none,none,?,?,?,?,?,serosanguinous,?,died,yes
no,adult,?,?,?,cool,reduced,'bright red',>=3,'intermittent severe pain',hypermotile,slight,none,>1l,?,increased,normal,?,?,cloudy,?,died,no
yes,adult,?,?,?,cool,reduced,'normal pink',<3,'alert no pain',hypomotile,?,?,?,?,normal,normal,?,?,?,?,lived,no
yes,young,?,?,?,cool,normal,'bright pink',<3,'intermittent mild pain',absent,none,?,?,?,normal,?,?,?,?,?,lived,yes
yes,adult,?,?,?,cool,reduced,?,<3,'intermittent severe pain',absent,none,slight,none,?,normal,?,?,?,cloudy,?,lived,yes
no,adult,?,?,?,cool,?,?,>=3,'intermittent mild pain',hypomotile,slight,slight,none,?,decreased,?,?,?,clear,?,lived,no
no,adult,?,?,?,cool,normal,'normal pink',<3,depressed,hypomotile,slight,?,?,?,?,other,?,?,?,?,lived,no
no,adult,?,?,?,warm,reduced,'pale pink','meaning unknown','intermittent mild pain',hypermotile,slight,slight,>1l,?,?,'distended small intestine',?,?,?,?,lived,no
no,adult,?,?,?,?,?,?,?,'alert no pain',hypermotile,?,none,none,?,normal,?,?,?,?,?,lived,no
yes,adult,?,?,?,cool,normal,'bright red',>=3,'intermittent severe pain',hypomotile,moderate,slight,<1l,?,absent,'distended small intestine',?,?,serosanguinous,?,died,yes
yes,adult,?,?,?,?,normal,'bright pink',<3,'intermittent mild pain',hypomotile,moderate,slight,none,?,decreased,'distended large intestine',?,?,?,?,lived,yes
yes,young,?,?,?,cool,normal,'bright pink',<3,depressed,hypomotile,severe,none,none,?,absent,'distended small intestine',?,?,serosanguinous,?,died,yes
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,yes
no,adult,?,?,?,?,?,'dark cyanotic',>=3,?,?,?,?,?,?,?,?,?,?,?,?,died,no
yes,adult,?,?,?,cool,normal,'pale pink',<3,'intermittent severe pain',hypermotile,none,none,none,?,?,?,?,?,?,?,euthanized,yes
yes,adult,?,?,?,normal,reduced,'pale pink',<3,'continuous severe pain',hypomotile,none,none,none,?,decreased,?,?,?,serosanguinous,?,euthanized,yes
yes,adult,?,?,?,warm,reduced,'normal pink',<3,?,hypomotile,none,none,>1l,?,?,?,?,?,?,?,lived,yes
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,died,no
yes,adult,?,?,?,normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,moderate,slight,<1l,?,absent,'distended large intestine',?,?,?,?,lived,yes
