@relation credit-rating-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0

@attribute A1 {b,a}
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 {u,y,l,t}
@attribute A5 {g,p,gg}
@attribute A6 {c,d,cc,i,j,k,m,r,q,w,x,e,aa,ff}
@attribute A7 {v,h,bb,j,n,z,dd,ff,o}
@attribute A8 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 numeric
@attribute A12 {t,f}
@attribute A13 {g,p,s}
@attribute A14 numeric
@attribute A15 numeric
@attribute class {+,-}

@data
a,0.048691,0.011925,u,g,q,h,0.002087,t,f,0,f,g,0.034583,0.998142,+
b,0.021806,0.003668,y,p,c,bb,0.002038,f,f,0,f,g,0.163036,0.98637,-
a,0.157111,0.003898,y,p,ff,ff,0.000833,f,f,0,f,g,0.799549,0.579673,-
b,0.919521,0.179594,u,g,w,v,0.004885,f,t,0.05747,f,g,0,0.34482,-
a,1,0,y,p,ff,ff,0,f,f,0,f,g,0,0,-
a,0.427589,0.013089,u,g,j,j,0,t,f,0,t,g,0.872631,0.23561,-
a,0.099301,0.004248,u,g,aa,v,0.000638,f,f,0,f,g,0,0.995048,-
b,0.187701,0.02332,u,g,c,h,0.009069,t,t,0.038003,t,g,0,0.981172,+
b,0.306996,0.010195,u,g,c,v,0.016991,t,f,0,t,g,0.951504,0,-
b,0.063924,0.019951,u,g,x,h,0.017457,t,t,0.008978,t,g,0,0.997562,+
a,0.806006,0.427737,y,p,j,j,0,t,t,0.40914,t,g,0,0,+
b,0.202756,0.097323,u,g,k,v,0.018248,t,t,0.016221,t,g,0.97323,0.040551,-
b,0.080982,0.004161,u,g,m,v,0.000424,t,f,0,f,s,0.996707,0,-
a,0.184954,0.003073,u,g,aa,v,0.00184,f,f,0,t,g,0.883362,0.430639,-
a,0.035494,0.000737,u,g,q,h,0.001842,t,t,0.001474,f,g,0,0.999367,+
b,0.162109,0.010769,y,p,aa,v,0.003877,f,f,0,t,g,0.861519,0.481015,-
a,0.444753,0.056482,u,g,k,h,0.053849,t,t,0.023933,t,g,0.797763,0.398881,-
a,0.137366,0.053746,u,g,c,v,0.008958,t,t,0.004479,f,g,0.985343,0.085098,+
b,?,?,y,p,i,bb,?,f,f,?,t,g,?,?,-
a,0.11971,0.064671,u,g,c,v,0.001376,f,f,0,t,g,0.990699,0,-
b,0.162305,0.013292,u,g,m,v,0.020542,t,t,0.029,f,g,0.986011,0,+
b,0.034897,0.004997,u,g,x,h,0.007495,t,t,0.005996,t,g,0,0.999332,+
b,0.061509,0.007787,u,g,c,h,0.005487,f,t,0.002396,t,g,0.996789,0.050319,-
b,0.014529,0.004981,u,g,c,v,0.001156,t,t,0.002135,f,g,0.142301,0.989701,+
b,0.010563,0.001144,u,g,c,v,0.000497,t,t,0.005034,t,g,0.02746,0.999554,+
a,0.454163,0.01758,u,g,ff,ff,0,f,f,0,f,g,0.890745,0,-
b,0.127933,0.047763,y,p,m,v,0.000283,f,f,0,f,g,0.990632,0,-
a,0.201261,0,y,p,j,ff,0,f,f,0,f,g,0.979538,0,-
b,0.104417,0.00051,u,g,i,h,0.012741,t,f,0,f,g,0.994452,0,+
b,0.010447,0.000205,u,g,w,v,0.000103,f,t,0.000354,f,g,0.120409,0.992669,-
b,0.121581,0.023791,y,p,i,h,0.000231,f,f,0,f,g,0.807465,0.576761,-
b,0.063765,0.003437,u,g,w,v,0.004582,t,t,0.025204,t,g,0.994402,0.080194,+
b,0.121743,0.012875,u,g,k,v,0.004135,f,f,0,f,g,0.99247,0,-
b,0.999998,0.001257,y,p,m,v,0.001257,f,f,0,f,g,0,0,-
b,0.051767,0.004648,u,g,x,h,0.005507,t,f,0,t,g,0.998633,0,-
b,0.232632,0.006467,u,g,c,v,0.001605,f,f,0,f,g,0.972542,0,+
