@relation german_credit-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0-weka.filters.unsupervised.instance.Randomize-S42

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
'no checking',0.004417,'existing paid','used car',0.999978,'no known savings',unemployed,0.000368,'female div/dep/mar',none,0.000736,'life insurance',0.004785,none,rent,0.000184,'high qualif/self emp/mgmt',0.000184,yes,yes,good
0<=X<200,0.004452,'delayed previously','new car',0.999976,100<=X<500,>=7,0.000247,'male single',none,0.000495,car,0.005194,none,own,0.000495,'high qualif/self emp/mgmt',0.000124,yes,yes,bad
'no checking',0.017436,'existing paid',radio/tv,0.999636,500<=X<1000,4<=X<7,0.002906,'female div/dep/mar',none,0.000726,car,0.020341,none,own,0.000726,skilled,0.000726,none,yes,good
'no checking',0.008464,'existing paid',furniture/equipment,0.999788,500<=X<1000,>=7,0.001058,'male single',none,0.001411,'life insurance',0.018691,none,own,0.000353,skilled,0.000353,none,yes,good
<0,0.005526,'critical/other existing credit','new car',0.999828,<100,1<=X<4,0.001842,'male single',none,0.001842,'life insurance',0.0175,bank,own,0.000921,'unskilled resident',0.000461,none,no,good
<0,0.007102,'existing paid',radio/tv,0.999964,<100,1<=X<4,0.000444,'female div/dep/mar',none,0.000296,car,0.004587,none,own,0.000148,skilled,0.000148,yes,yes,bad
0<=X<200,0.003264,'existing paid','used car',0.999987,<100,<1,0.000251,'male single',none,0.000377,car,0.003766,none,own,0.000251,skilled,0.000126,none,yes,good
<0,0.010838,'existing paid',radio/tv,0.999773,<100,1<=X<4,0.001806,'male single',none,0.001806,'real estate',0.018063,none,rent,0.000903,'high qualif/self emp/mgmt',0.001806,yes,yes,good
0<=X<200,0.015494,'existing paid',radio/tv,0.999823,<100,4<=X<7,0.001722,'male single',none,0.001722,car,0.01033,none,rent,0.00043,skilled,0.00043,none,yes,good
<0,0.004365,'existing paid',furniture/equipment,0.999646,<100,1<=X<4,0.000728,'male single',none,0.001455,'real estate',0.026192,bank,own,0.000728,'unskilled resident',0.000728,yes,yes,good
<0,0.004656,'existing paid',furniture/equipment,0.999856,<100,1<=X<4,0.000776,'male div/sep',none,0.000388,car,0.016296,none,own,0.000388,skilled,0.000388,none,yes,good
0<=X<200,0.00808,'delayed previously',business,0.999944,<100,1<=X<4,0.000449,'male div/sep',none,0.000449,'real estate',0.006734,stores,own,0.000449,'high qualif/self emp/mgmt',0.000224,yes,yes,bad
<0,0.012478,'all paid','new car',0.999666,<100,4<=X<7,0.002773,'male single',none,0.002773,'no known property',0.022184,none,'for free',0.001386,'unskilled resident',0.001386,none,yes,bad
0<=X<200,0.032481,'existing paid','new car',0.996091,<100,1<=X<4,0.014436,'male mar/wid',none,0.014436,'real estate',0.079399,none,rent,0.003609,'unskilled resident',0.003609,none,yes,good
'no checking',0.022907,'critical/other existing credit',radio/tv,0.996445,500<=X<1000,>=7,0.007636,'male single',none,0.007636,'life insurance',0.080174,none,own,0.003818,skilled,0.003818,yes,yes,good
'no checking',0.002516,'existing paid','new car',0.99997,100<=X<500,1<=X<4,0.00028,'male single',guarantor,0.000559,'real estate',0.007268,none,rent,0.00028,skilled,0.000559,none,no,good
'no checking',0.006483,'existing paid',furniture/equipment,0.999798,<100,1<=X<4,0.002881,'female div/dep/mar',none,0.001441,'real estate',0.018728,none,rent,0.00072,skilled,0.00072,none,yes,good
<0,0.003524,'existing paid','new car',0.999978,<100,unemployed,0.000252,'male single',none,0.001007,'no known property',0.005537,none,'for free',0.000252,skilled,0.000252,none,yes,good
'no checking',0.008058,'delayed previously',business,0.999908,'no known savings',1<=X<4,0.001343,'male single',none,0.001343,'real estate',0.010744,none,own,0.000672,skilled,0.000672,yes,yes,good
<0,0.00597,'existing paid',furniture/equipment,0.999959,<100,1<=X<4,0.000497,'male single',none,0.000497,car,0.006716,stores,own,0.000249,skilled,0.000249,none,yes,good
0<=X<200,0.012577,'delayed previously','new car',0.999864,100<=X<500,>=7,0.001397,'male single',none,0.001048,'no known property',0.010481,none,'for free',0.000349,skilled,0.000349,none,yes,good
'no checking',0.002348,'existing paid',education,0.999857,'no known savings',>=7,0.000261,'male single',none,0.001044,'real estate',0.016699,none,own,0.000261,'unskilled resident',0.000261,none,yes,good
<0,0.00578,'no credits/all paid',furniture/equipment,0.999947,<100,<1,0.000321,'female div/dep/mar',none,0.001284,'life insurance',0.008349,none,rent,0.000321,skilled,0.000321,none,yes,bad
'no checking',0.003245,'existing paid',education,0.999957,100<=X<500,1<=X<4,0.000649,'male single',none,0.000433,'life insurance',0.008652,none,own,0.000216,'high qualif/self emp/mgmt',0.000216,yes,yes,bad
'no checking',0.003861,'critical/other existing credit',radio/tv,0.999871,<100,4<=X<7,0.000643,'female div/dep/mar',none,0.001287,car,0.015442,none,rent,0.001287,skilled,0.000643,yes,yes,good
<0,0.003717,'no credits/all paid',business,0.999988,'no known savings',<1,0.000248,'male single',none,0.000372,car,0.003097,bank,own,0.000372,skilled,0.000124,none,yes,good
<0,0.019537,'existing paid','new car',0.999634,<100,<1,0.002171,'female div/dep/mar',none,0.002171,car,0.018451,none,own,0.000543,skilled,0.000543,yes,yes,bad
'no checking',0.009085,'existing paid',repairs,0.999327,500<=X<1000,4<=X<7,0.003028,'male mar/wid',none,0.006057,'real estate',0.034825,none,rent,0.001514,'unskilled resident',0.001514,none,yes,good
<0,0.0175,'existing paid','new car',0.999672,'no known savings',1<=X<4,0.002917,'female div/dep/mar',none,0.002917,'real estate',0.018229,none,rent,0.000729,skilled,0.000729,none,yes,bad
0<=X<200,0.01251,'critical/other existing credit','new car',0.998709,<100,4<=X<7,0.002085,'male single',none,0.003127,'real estate',0.048997,none,own,0.002085,'unskilled resident',0.002085,none,yes,good
'no checking',0.010505,'existing paid','new car',0.99991,<100,1<=X<4,0.001167,'female div/dep/mar',none,0.001167,'real estate',0.00817,none,rent,0.000389,skilled,0.000389,none,yes,bad
